DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2012-09-12,40.0,40.2,40.0,40.1,404630.0,0.0,1.0,29.8976510126381,30.0471392677013,29.8976510126381,29.9723951401697,541353.566310555
2012-09-11,39.9,40.1,39.9,39.9,281034.0,0.0,1.0,29.8229068851065,29.9723951401697,29.8229068851065,29.8229068851065,375994.756084622
2012-09-10,40.1,40.2,39.8,40.0,617362.0,0.0,1.0,29.9723951401697,30.0471392677013,29.7481627575749,29.8976510126381,825967.230320582
2012-09-09,40.3,40.3,39.9,40.1,568034.0,0.0,1.0,30.1218833952329,30.1218833952329,29.8229068851065,29.9723951401697,759971.410141734
2012-09-08,40.1,40.5,40.1,40.4,1605124.0,0.0,1.0,29.9723951401697,30.271371650296,29.9723951401697,30.1966275227644,2147491.78699222
2012-09-05,40.0,40.1,39.7,40.0,952313.0,0.0,1.0,29.8976510126381,29.9723951401697,29.6734186300433,29.8976510126381,1274097.41935572
2012-09-04,40.2,40.2,39.9,40.0,681513.0,0.0,1.0,30.0471392677013,30.0471392677013,29.8229068851065,29.8976510126381,911794.708837717
2012-09-03,40.1,40.4,40.0,40.3,696210.0,0.0,1.0,29.9723951401697,30.1966275227644,29.8976510126381,30.1218833952329,931457.792059589
2012-09-02,40.6,40.6,40.1,40.2,1875429.0,0.0,1.0,30.3461157778276,30.3461157778276,29.9723951401697,30.0471392677013,2509132.23812431
2012-09-01,40.7,40.9,40.3,40.6,2119859.0,0.0,1.0,30.4208599053592,30.5703481604224,30.1218833952329,30.3461157778276,2836154.58499253
2012-08-29,40.0,40.9,40.0,40.7,1969402.0,0.0,1.0,29.8976510126381,30.5703481604224,29.8976510126381,30.4208599053592,2634858.5033219
2012-08-28,39.9,40.1,39.7,40.1,1531680.0,0.0,1.0,29.8229068851065,29.9723951401697,29.6734186300433,29.9723951401697,2049231.22469058
2012-08-27,39.0,40.0,38.9,39.9,2629571.0,0.0,1.0,29.1502097373221,29.8976510126381,29.0754656097905,29.8229068851065,3518097.12259796
2012-08-26,39.0,39.0,38.8,38.9,1419124.0,0.0,1.0,29.1502097373221,29.1502097373221,29.0007214822589,29.0754656097905,1898642.80561723
2012-08-25,39.0,39.2,38.8,39.0,1653585.0,0.0,1.0,29.1502097373221,29.2996979923853,29.0007214822589,29.1502097373221,2212327.6498224
2012-08-15,39.1,39.1,38.6,38.8,1954173.0,0.0,1.0,29.2249538648537,29.2249538648537,28.8512332271957,29.0007214822589,2614483.65849738
2012-08-14,38.9,39.2,38.8,39.0,342874.0,0.0,1.0,29.0754656097905,29.2996979923853,29.0007214822589,29.1502097373221,458730.35290306
2012-08-13,39.3,39.4,38.8,38.8,730995.0,0.0,1.0,29.3744421199169,29.4491862474485,29.0007214822589,29.0007214822589,977996.565269961
2012-08-12,39.5,39.6,39.2,39.3,615203.0,0.0,1.0,29.5239303749801,29.5986745025117,29.2996979923853,29.3744421199169,823078.709079783
2012-08-11,39.6,40.1,39.4,39.5,1029381.0,0.0,1.0,29.5986745025117,29.9723951401697,29.4491862474485,29.5239303749801,1377206.52310092
2012-08-08,39.7,40.1,39.6,39.7,272342.0,0.0,1.0,29.6734186300433,29.9723951401697,29.5986745025117,29.6734186300433,364365.748847464
2012-08-07,39.8,39.8,39.5,39.7,340369.0,0.0,1.0,29.7481627575749,29.7481627575749,29.5239303749801,29.6734186300433,455378.919040994
2012-08-06,40.0,40.0,39.7,39.8,121641.0,0.0,1.0,29.8976510126381,29.8976510126381,29.6734186300433,29.7481627575749,162743.220125997
2012-08-05,40.1,40.1,39.8,39.9,190183.0,0.0,1.0,29.9723951401697,29.9723951401697,29.7481627575749,29.8229068851065,254445.407660431
2012-08-04,39.6,40.4,39.5,40.0,735836.0,0.0,1.0,29.5986745025117,30.1966275227644,29.5239303749801,29.8976510126381,984473.328274457
2012-08-01,39.9,39.9,39.1,39.5,740163.0,0.0,1.0,29.8229068851065,29.8229068851065,29.2249538648537,29.5239303749801,990262.411835799
2012-07-31,40.1,40.2,39.9,39.9,510733.0,0.0,1.0,29.9723951401697,30.0471392677013,29.8229068851065,29.8229068851065,683308.531207495
2012-07-30,40.4,40.4,40.1,40.2,402006.0,0.0,1.0,30.1966275227644,30.1966275227644,29.9723951401697,30.0471392677013,537842.922616319
2012-07-29,40.3,40.5,40.0,40.5,552968.0,0.0,1.0,30.1218833952329,30.271371650296,29.8976510126381,30.271371650296,739814.64265036
2012-07-28,40.6,41.1,40.3,40.4,1376079.0,0.5,1.0,30.3461157778276,30.7198364154856,30.1218833952329,30.1966275227644,1841052.99699741
2012-07-25,40.2,41.2,40.0,40.6,1786525.0,0.0,1.0,29.677100606769,30.4153369402707,29.5294533400686,29.9723951401697,2419990.61672552
2012-07-24,40.0,40.5,39.8,40.5,985542.0,0.0,1.0,29.5294533400686,29.8985715068195,29.3818060733683,29.8985715068195,1334995.25189342
2012-07-23,39.2,40.6,39.1,40.2,2132419.0,0.0,1.0,28.9388642732673,29.9723951401697,28.8650406399171,29.677100606769,2888531.63035905
2012-07-22,38.1,39.5,38.0,39.5,2016557.0,0.0,1.0,28.1268043064154,29.1603351733178,28.0529806730652,29.1603351733178,2731587.3094931
2012-07-21,36.7,38.4,36.6,38.2,2663753.0,0.0,1.0,27.093273439513,28.3482752064659,27.0194498061628,28.2006279397655,3608265.9158279
2012-07-18,36.4,36.5,36.0,36.1,752328.0,0.0,1.0,26.8718025394624,26.9456261728126,26.5765080060618,26.6503316394119,1019088.28630994
2012-07-17,36.4,36.5,36.1,36.5,473847.0,0.0,1.0,26.8718025394624,26.9456261728126,26.6503316394119,26.9456261728126,641863.558452043
2012-07-16,36.6,36.9,36.5,36.5,632838.0,0.0,1.0,27.0194498061628,27.2409207062133,26.9456261728126,26.9456261728126,857229.550052388
2012-07-15,36.2,36.8,36.1,36.5,930922.0,0.0,1.0,26.7241552727621,27.1670970728631,26.6503316394119,26.9456261728126,1261008.10506618
2012-07-14,36.2,36.3,35.9,36.2,1110671.0,0.0,1.0,26.7241552727621,26.7979789061123,26.5026843727116,26.7241552727621,1504492.46345231
2012-07-11,36.3,36.4,35.8,36.0,825899.0,0.0,1.0,26.7979789061123,26.8718025394624,26.4288607393614,26.5765080060618,1118746.07428555
2012-07-10,36.9,36.9,36.1,36.4,1169598.0,0.0,1.0,27.2409207062133,27.2409207062133,26.6503316394119,26.8718025394624,1584313.78533238
2012-07-09,38.5,38.6,36.4,36.7,5329424.0,0.0,1.0,28.4220988398161,28.4959224731662,26.8718025394624,27.093273439513,7219129.91564728
2012-07-08,38.5,38.7,38.3,38.7,428295.0,0.0,1.0,28.4220988398161,28.5697461065164,28.2744515731157,28.5697461065164,580159.740944266
2012-07-07,38.6,38.6,38.0,38.4,1073640.0,0.0,1.0,28.4959224731662,28.4959224731662,28.0529806730652,28.3482752064659,1454331.02013192
2012-07-04,39.5,39.6,38.5,38.6,1652255.0,0.0,1.0,29.1603351733178,29.2341588066679,28.4220988398161,28.4959224731662,2238111.19152423
2012-07-03,39.4,39.5,39.3,39.5,880310.0,0.0,1.0,29.0865115399676,29.1603351733178,29.0126879066174,29.1603351733178,1192450.11394167
2012-07-02,39.3,39.5,39.2,39.4,342058.0,0.0,1.0,29.0126879066174,29.1603351733178,28.9388642732673,29.0865115399676,463344.845650577
2012-07-01,39.3,39.6,39.2,39.4,278769.0,0.0,1.0,29.0126879066174,29.2341588066679,28.9388642732673,29.0865115399676,377614.846830554
2012-06-30,39.1,39.7,39.1,39.5,529651.0,0.0,1.0,28.8650406399171,29.3079824400181,28.8650406399171,29.1603351733178,717454.527722414
2012-06-27,39.2,39.3,38.9,38.9,899273.0,0.0,1.0,28.9388642732673,29.0126879066174,28.7173933732167,28.7173933732167,1218137.01004722
2012-06-26,39.0,39.4,39.0,39.1,401893.0,0.0,1.0,28.7912170065669,29.0865115399676,28.7912170065669,28.8650406399171,544396.125958309
2012-06-25,39.2,39.3,39.1,39.3,93700.0,0.0,1.0,28.9388642732673,29.0126879066174,28.8650406399171,29.0126879066174,126924.124088485
2012-06-24,39.1,39.3,39.0,39.3,621269.0,0.0,1.0,28.8650406399171,29.0126879066174,28.7912170065669,29.0126879066174,841558.41673777
2012-06-23,39.1,39.3,39.0,39.2,270238.0,0.0,1.0,28.8650406399171,29.0126879066174,28.7912170065669,28.9388642732673,366058.926845507
2012-06-22,39.3,39.5,39.0,39.5,1062708.0,0.0,1.0,29.0126879066174,29.1603351733178,28.7912170065669,29.1603351733178,1439522.75412834
2012-06-21,39.3,39.5,39.0,39.5,1062708.0,0.0,1.0,29.0126879066174,29.1603351733178,28.7912170065669,29.1603351733178,1439522.75412834
2012-06-20,39.3,39.5,39.0,39.5,1062708.0,0.0,1.0,29.0126879066174,29.1603351733178,28.7912170065669,29.1603351733178,1439522.75412834
2012-06-19,39.2,39.3,39.0,39.2,519718.0,0.0,1.0,28.9388642732673,29.0126879066174,28.7912170065669,28.9388642732673,703999.486905222
2012-06-18,39.2,39.3,39.0,39.1,621531.0,0.0,1.0,28.9388642732673,29.0126879066174,28.7912170065669,28.8650406399171,841913.316636502
2012-06-17,39.1,39.1,38.8,39.1,382552.0,0.0,1.0,28.8650406399171,28.8650406399171,28.6435697398666,28.8650406399171,518197.198701154
2012-06-16,39.2,39.4,37.9,38.9,1064293.0,0.0,1.0,28.9388642732673,29.0865115399676,27.979157039715,28.7173933732167,1441669.7630577
2012-06-15,39.1,39.2,39.0,39.1,364475.0,0.0,1.0,28.8650406399171,28.9388642732673,28.7912170065669,28.8650406399171,493710.460268416
2012-06-14,39.1,39.2,39.0,39.1,364475.0,0.0,1.0,28.8650406399171,28.9388642732673,28.7912170065669,28.8650406399171,493710.460268416
2012-06-13,39.1,39.2,39.0,39.1,364475.0,0.0,1.0,28.8650406399171,28.9388642732673,28.7912170065669,28.8650406399171,493710.460268416
2012-06-12,39.2,39.2,38.8,39.0,548719.0,0.0,1.0,28.9388642732673,28.9388642732673,28.6435697398666,28.7912170065669,743283.654703409
2012-06-11,39.6,39.8,39.3,39.3,649287.0,0.0,1.0,29.2341588066679,29.3818060733683,29.0126879066174,29.0126879066174,879511.032625829
2012-06-10,39.1,39.5,38.9,39.4,514194.0,0.0,1.0,28.8650406399171,29.1603351733178,28.7173933732167,29.0865115399676,696516.788276996
2012-06-09,39.7,39.9,39.0,39.0,554299.0,0.0,1.0,29.3079824400181,29.4556297067185,28.7912170065669,28.7912170065669,750842.20979854
